generation,hypervolume,mean_speed,mean_safety,mean_smoothness,crash_rate,pareto_size,elapsed_s
162,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,15872.5
163,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,15974.3
164,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16074.9
165,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16183.4
166,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16286.5
167,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16397.4
168,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16495.9
169,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16592.1
170,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16696.7
171,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16813.5
172,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16914.6
173,35700.153338,12.4183,-3.8800,-8.1521,0.3880,28,17018.0
174,35700.153338,12.4183,-3.8800,-8.1521,0.3880,28,17118.5
175,35700.153338,12.4801,-3.8800,-8.5540,0.3880,28,17213.2
176,35700.153338,12.4801,-3.8800,-8.5540,0.3880,28,17308.9
177,35700.153338,12.4920,-3.8800,-8.5629,0.3880,28,17409.5
178,35701.185845,12.5176,-3.8800,-8.5577,0.3880,28,17508.9
179,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,17610.8
180,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,17705.6
181,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,17802.8
182,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,17903.4
183,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,18004.4
184,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,18098.9
185,35701.211100,12.8595,-4.0400,-8.5516,0.4040,29,18208.9
186,35701.211100,12.8595,-4.0400,-8.5516,0.4040,29,18304.2
187,35701.211100,12.8595,-4.0400,-8.5516,0.4040,29,18400.4
188,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18498.4
189,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18599.1
190,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18694.4
191,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18786.7
192,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18879.4
193,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18990.3
194,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19073.9
195,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19174.7
196,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19278.0
197,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19383.0
198,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19486.7
199,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19566.1
200,36556.795562,12.9339,-3.9600,-8.5243,0.3960,29,19670.0
201,36556.795562,12.9339,-3.9600,-8.5243,0.3960,29,19765.8
202,36556.795562,12.9339,-3.9600,-8.5243,0.3960,29,19854.8
